147.86.3.160 & wsnmu25.fhnw.ch \\
147.86.3.161 & wsnmu25-sec1.fhnw.ch \\
147.86.3.162 & wsnmu25-sec2.fhnw.ch \\
147.86.3.163 & wsnmu25-sec3.fhnw.ch \\
147.86.3.164 & wsnmu32.fhnw.ch \\
147.86.3.165 & wsnmu32-sec1.fhnw.ch \\
147.86.3.166 & wsnmu32-sec2.fhnw.ch \\
147.86.3.167 & wsnmu32-sec3.fhnw.ch \\
147.86.3.168 & wsnmu32-sec4.fhnw.ch \\
147.86.3.169 & wsnmu32-sec5.fhnw.ch \\
147.86.3.170 & wsnmu31.fhnw.ch \\
147.86.3.171 & wsnmu31-sec1.fhnw.ch \\
147.86.3.172 & wsnmu31-sec2.fhnw.ch \\
147.86.3.173 & wsnmu31-sec3.fhnw.ch \\
147.86.3.174 & wsnmu31-sec4.fhnw.ch \\
147.86.3.175 & wsnmu31-sec5.fhnw.ch \\
147.86.3.176 & wsnmu33.fhnw.ch \\
147.86.3.177 & wsnmu33-sec1.fhnw.ch \\
147.86.3.178 & wsnmu33-sec2.fhnw.ch \\
147.86.3.179 & wsnmu33-sec3.fhnw.ch \\
147.86.3.180 & wsnmu33-sec4.fhnw.ch \\
147.86.3.182 & wsnmu14.fhnw.ch \\
147.86.3.183 & wsnmu37.fhnw.ch \\
147.86.3.184 & wsnmu37-sec1.fhnw.ch \\
147.86.3.185 & wsnmu37-sec2.fhnw.ch \\
147.86.3.186 & wsnmu37-sec3.fhnw.ch \\
147.86.3.187 & wsnmu37-sec4.fhnw.ch \\
147.86.3.188 & wsnmu37-sec5.fhnw.ch \\
147.86.3.189 & wsnmu37-sec6.fhnw.ch \\
147.86.3.190 & wsnmu37-sec7.fhnw.ch \\
147.86.3.191 & wsnmu37-sec8.fhnw.ch \\
147.86.3.200 & wsnmu33-sec10.fhnw.ch \\
147.86.3.201 & wsnmu33-sec11.fhnw.ch \\
147.86.3.202 & wsnmu33-sec12.fhnw.ch \\
147.86.3.203 & wsnmu33-sec13.fhnw.ch \\
147.86.3.204 & wsnmu33-sec14.fhnw.ch \\
147.86.3.205 & wsnmu33-sec15.fhnw.ch \\
147.86.3.206 & wsnmu33-sec16.fhnw.ch \\
147.86.3.207 & wsnmu33-sec17.fhnw.ch \\
147.86.3.208 & wsnmu33-sec18.fhnw.ch \\
147.86.3.209 & wsnmu33-sec19.fhnw.ch \\
147.86.3.210 & wsnra111.fhnw.ch \\
147.86.3.211 & wsnra111-sec1.fhnw.ch \\
147.86.3.212 & wsnra111-sec2.fhnw.ch \\
147.86.3.213 & wsnra111-sec3.fhnw.ch \\
147.86.3.214 & wsnra111-sec4.fhnw.ch \\
147.86.3.215 & wsnra111-sec5.fhnw.ch \\
147.86.2.239 & irmab0u101.net.fhnw.ch \\
147.86.3.239 & vpn1.fhnw.ch \\
147.86.3.240 & vpn2.fhnw.ch \\
147.86.3.1 & ndb0u101virt-dmz-vl99.net.fhnw.ch \\
147.86.2.4 & ndb0u101-dmz-vl98.net.fhnw.ch \\
147.86.3.4 & ndb0u101-dmz-vl99.net.fhnw.ch \\
147.86.2.5 & ndb0u102-dmz-vl98.net.fhnw.ch \\
147.86.3.5 & ndb0u102-dmz-vl99.net.fhnw.ch \\
147.86.3.20 & ns1.fhnw.ch \\
147.86.3.21 & ns2.fhnw.ch \\
147.86.3.22 & ns30u101.net.fhnw.ch \\
147.86.3.23 & ns30u102.net.fhnw.ch \\
147.86.3.24 & mxnmu11.fhnw.ch \\
147.86.3.25 & mxnmu12.fhnw.ch \\
147.86.3.26 & mxnmu13.fhnw.ch \\
147.86.3.27 & mxnmu14.fhnw.ch \\
147.86.3.28 & mxnmu11i.fhnw.ch \\
147.86.3.29 & mxnmu12i.fhnw.ch \\
147.86.3.30 & mxnmu13i.fhnw.ch \\
147.86.3.31 & mxnmu14i.fhnw.ch \\
147.86.3.40 & wsnra113.fhnw.ch \\
147.86.3.42 & asemu17.ict.fhnw.ch \\
147.86.3.43 & tools.fhnw.ch \\
147.86.3.44 & sapportal.fhnw.ch \\
147.86.3.45 & sapportaltest.fhnw.ch \\
147.86.3.47 & aai-logon.test.fhnw.ch \\
147.86.3.48 & es.fhnw.ch \\
147.86.3.51 & tools4.fhnw.ch \\
147.86.3.52 & wsnmu27-sec4.fhnw.ch \\
147.86.3.53 & wsnra114.fhnw.ch \\
147.86.3.55 & aai-logon.fhnw.ch \\
147.86.3.56 & asnra113.fhnw.ch \\
147.86.3.57 & asnra113-sec1.fhnw.ch \\
147.86.3.58 & asnra113-sec2.fhnw.ch \\
147.86.3.59 & asnra113-sec3.fhnw.ch \\
147.86.3.64 & campus.old.ph.fhnw.ch \\
147.86.3.66 & web.fhnw.ch \\
147.86.3.67 & webz.fhnw.ch \\
147.86.3.68 & web.asa.fhnw.ch \\
147.86.3.69 & pmst.fhnw.ch \\
147.86.3.71 & wsnmu22.fhnw.ch \\
147.86.3.72 & wsnmu22-sec1.fhnw.ch \\
147.86.3.73 & wsnmu22-sec2.fhnw.ch \\
147.86.3.74 & wsnmu22-sec3.fhnw.ch \\
147.86.3.75 & wsnmu22-sec4.fhnw.ch \\
147.86.3.76 & webtransfer.fhnw.ch \\
147.86.3.78 & webtransfer2.fhnw.ch \\
147.86.2.80 & wsnmu34-int.fhnw.ch \\
147.86.3.80 & wsnmu34.fhnw.ch \\
147.86.2.81 & wsnmu35-int.fhnw.ch \\
147.86.3.81 & wsnmu35.fhnw.ch \\
147.86.3.83 & wsnmu35-sec1.fhnw.ch \\
147.86.3.84 & lmailer.fhnw.ch \\
147.86.2.86 & wsnmu36.fhnw.ch \\
147.86.3.88 & mail.fhnw.ch \\
147.86.3.89 & legacy.fhnw.ch \\
147.86.3.90 & dsamu17.adm.ds.fhnw.ch \\
